Country,YearsCode,EdLevel,Employment,LanguageHaveWorkedWith,ConvertedCompYearly
Germany,13.0,Bachelor's,Full-time,8.0,150819.0
United Kingdom of Great Britain and Northern Ireland,35.0,Some college,Full-time,9.0,163370.0
United Kingdom of Great Britain and Northern Ireland,26.0,Bachelor's,Full-time,6.0,85769.0
Germany,17.0,Master's,Full-time,7.0,104413.0
Other,7.0,High school,Full-time,4.0,52946.0
Other,20.0,Bachelor's,Full-time,8.0,98827.0
Poland,30.0,Professional,Full-time,4.0,172199.0
Brazil,50.0,Some college,Full-time,3.0,18204.0
Italy,24.0,Professional,Full-time,7.0,45246.0
Other,35.0,Bachelor's,Full-time,8.0,38388.0
United States of America,45.0,Bachelor's,Full-time,5.0,160000.0
Other,25.0,Master's,Full-time,5.0,81210.0
Poland,20.0,Master's,Full-time,6.0,68225.0
Canada,13.0,Bachelor's,Full-time,2.0,65663.0
United Kingdom of Great Britain and Northern Ireland,18.0,Master's,Full-time,9.0,98022.0
United States of America,23.0,Bachelor's,Full-time,3.0,148000.0
United States of America,20.0,Master's,Full-time,4.0,38000.0
Germany,10.0,High school,Full-time,9.0,58471.0
Germany,24.0,Master's,Full-time,4.0,96292.0
Sweden,15.0,Some college,Full-time,4.0,62893.0
France,20.0,Master's,Full-time,6.0,139218.0
Other,15.0,Bachelor's,Full-time,13.0,72600.0
Other,16.0,Other,Full-time,5.0,174022.0
Italy,8.0,High school,Full-time,9.0,16242.0
Poland,12.0,Bachelor's,Full-time,7.0,88692.0
France,18.0,Master's,Full-time,11.0,91072.0
Other,17.0,High school,Full-time,6.0,83531.0
United States of America,44.0,Some college,Full-time,2.0,160000.0
United States of America,16.0,Bachelor's,Full-time,7.0,150000.0
United States of America,40.0,Master's,Full-time,8.0,84000.0
Australia,45.0,Bachelor's,Full-time,9.0,97514.0
Other,30.0,Bachelor's,Full-time,8.0,200356.0
United States of America,40.0,Master's,Full-time,2.0,250000.0
Other,42.0,Master's,Full-time,4.0,42653.0
Australia,25.0,Bachelor's,Full-time,4.0,110516.0
United States of America,35.0,Master's,Full-time,7.0,95000.0
Germany,17.0,Master's,Full-time,3.0,81210.0
Other,8.0,Bachelor's,Full-time,6.0,23177.0
United States of America,26.0,Bachelor's,Full-time,3.0,128000.0
Other,28.0,Bachelor's,Full-time,6.0,78959.0
Germany,35.0,Some college,Full-time,10.0,51046.0
Germany,15.0,Master's,Full-time,8.0,96292.0
Other,28.0,Bachelor's,Full-time,4.0,96979.0
United States of America,37.0,Professional,Full-time,10.0,140000.0
Other,40.0,Some college,Full-time,5.0,67655.0
Germany,8.0,Professional,Full-time,2.0,60328.0
Other,35.0,Associate's,Full-time,6.0,42165.0
Germany,30.0,Master's,Full-time,7.0,150819.0
United States of America,9.0,Professional,Full-time,3.0,100000.0
Brazil,23.0,Bachelor's,Full-time,6.0,27306.0
United States of America,8.0,Bachelor's,Full-time,5.0,167000.0
Germany,15.0,Bachelor's,Full-time,6.0,62648.0
United States of America,34.0,Bachelor's,Full-time,11.0,170000.0
United States of America,13.0,Master's,Full-time,3.0,200000.0
Sweden,6.0,Some college,Full-time,9.0,92812.0
United States of America,15.0,Master's,Full-time,14.0,120000.0
United States of America,20.0,Some college,Full-time,4.0,129000.0
Germany,15.0,Bachelor's,Full-time,8.0,70769.0
Germany,21.0,Master's,Full-time,4.0,116015.0
United States of America,14.0,Bachelor's,Full-time,5.0,200000.0
Brazil,10.0,Master's,Full-time,3.0,41868.0
Other,13.0,Master's,Full-time,6.0,46406.0
Other,9.0,Master's,Full-time,,67464.0
Other,20.0,High school,Full-time,,16242.0
United Kingdom of Great Britain and Northern Ireland,8.0,Bachelor's,Full-time,3.0,62625.0
Canada,40.0,Master's,Full-time,7.0,145917.0
Other,11.0,Bachelor's,Full-time,2.0,49625.0
United States of America,7.0,Master's,Full-time,5.0,240000.0
Australia,9.0,Bachelor's,Full-time,3.0,52007.0
United States of America,3.0,Some college,Full-time,5.0,35000.0
United States of America,13.0,Bachelor's,Full-time,17.0,102000.0
Australia,40.0,Master's,Full-time,7.0,123518.0
United States of America,28.0,Professional,Full-time,4.0,143000.0
United States of America,13.0,Bachelor's,Full-time,4.0,120000.0
Spain,25.0,Master's,Full-time,6.0,40605.0
Other,15.0,Master's,Full-time,3.0,49625.0
Poland,8.0,Bachelor's,Full-time,10.0,35477.0
United States of America,17.0,Bachelor's,Full-time,4.0,104000.0
United Kingdom of Great Britain and Northern Ireland,22.0,Master's,Full-time,5.0,136141.0
Canada,20.0,Some college,Full-time,7.0,87550.0
United Kingdom of Great Britain and Northern Ireland,33.0,Bachelor's,Full-time,7.0,157243.0
Ukraine,7.0,Master's,Full-time,4.0,47932.0
Other,30.0,Associate's,Full-time,8.0,58007.0
Other,12.0,Bachelor's,Full-time,5.0,63808.0
Other,25.0,Bachelor's,Full-time,6.0,73089.0
Netherlands,23.0,Master's,Full-time,7.0,82370.0
Germany,40.0,Bachelor's,Full-time,2.0,129936.0
Italy,8.0,Some college,Full-time,5.0,41765.0
United States of America,37.0,Master's,Full-time,4.0,200000.0
United States of America,12.0,Master's,Full-time,2.0,135000.0
Canada,20.0,Professional,Full-time,9.0,75147.0
United States of America,13.0,Some college,Full-time,2.0,200000.0
Other,28.0,Bachelor's,Full-time,2.0,97511.0
United States of America,5.0,Bachelor's,Full-time,3.0,85000.0
Other,24.0,Bachelor's,Full-time,12.0,40605.0
United Kingdom of Great Britain and Northern Ireland,15.0,Bachelor's,Full-time,4.0,149756.0
United Kingdom of Great Britain and Northern Ireland,30.0,Master's,Full-time,9.0,238248.0
United States of America,9.0,Professional,Full-time,8.0,70000.0
France,8.0,Master's,Full-time,4.0,60328.0
Germany,28.0,Associate's,Full-time,4.0,73159.0
United States of America,14.0,Bachelor's,Student,4.0,50000.0
United States of America,30.0,Bachelor's,Full-time,8.0,400000.0
United States of America,17.0,Bachelor's,Full-time,5.0,240000.0
Germany,30.0,Bachelor's,Full-time,3.0,87011.0
Germany,28.0,Bachelor's,Full-time,5.0,87011.0
United States of America,12.0,Master's,Full-time,4.0,245000.0
Canada,20.0,Primary school,Full-time,3.0,72958.0
Poland,25.0,Master's,Full-time,6.0,84599.0
United States of America,10.0,Bachelor's,Full-time,6.0,100000.0
United States of America,20.0,Bachelor's,Full-time,8.0,250000.0
United States of America,14.0,Bachelor's,Full-time,9.0,115000.0
United States of America,33.0,Master's,Full-time,7.0,150000.0
Canada,20.0,Bachelor's,Full-time,7.0,204283.0
Other,35.0,Master's,Full-time,4.0,35584.0
United States of America,58.0,Master's,Full-time,2.0,20000.0
Australia,18.0,Some college,Full-time,7.0,169024.0
Canada,15.0,Some college,Full-time,4.0,94846.0
United States of America,25.0,Some college,Full-time,2.0,100000.0
United States of America,40.0,Some college,Full-time,4.0,500000.0
Other,6.0,Bachelor's,Full-time,7.0,36435.0
United States of America,12.0,Bachelor's,Full-time,3.0,250000.0
Italy,5.0,Master's,Full-time,4.0,44086.0
Other,7.0,Master's,Full-time,6.0,92812.0
Germany,42.0,Master's,Full-time,2.0,92812.0
Canada,35.0,Bachelor's,Full-time,1.0,102142.0
Australia,35.0,Professional,Full-time,11.0,130019.0
Brazil,26.0,Bachelor's,Full-time,4.0,13034.0
United States of America,40.0,Master's,Full-time,6.0,205000.0
United States of America,20.0,Associate's,Full-time,6.0,43097.0
Other,24.0,Bachelor's,Full-time,6.0,293971.0
Other,3.0,Some college,Full-time,,272298.0
United States of America,13.0,High school,Full-time,9.0,120000.0
France,8.0,Master's,Full-time,5.0,75410.0
Brazil,8.0,Bachelor's,Full-time,2.0,54611.0
Other,11.0,Some college,Full-time,8.0,58007.0
United Kingdom of Great Britain and Northern Ireland,45.0,Master's,Full-time,3.0,81685.0
Brazil,29.0,Professional,Full-time,8.0,36407.0
United States of America,30.0,Master's,Full-time,7.0,125000.0
Spain,17.0,Some college,Full-time,6.0,69609.0
Poland,31.0,Bachelor's,Full-time,5.0,44210.0
United States of America,8.0,Some college,Full-time,15.0,40000.0
Australia,25.0,Master's,Full-time,3.0,104015.0
United States of America,22.0,Professional,Full-time,6.0,140000.0
Ukraine,29.0,Bachelor's,Full-time,4.0,300000.0
United States of America,15.0,Bachelor's,Full-time,4.0,165000.0
United States of America,25.0,Professional,Full-time,6.0,115000.0
France,14.0,Master's,Full-time,3.0,87011.0
United States of America,13.0,Professional,Full-time,5.0,98000.0
United Kingdom of Great Britain and Northern Ireland,42.0,Bachelor's,Full-time,8.0,91215.0
Germany,8.0,Other,Full-time,3.0,61488.0
Other,41.0,Bachelor's,Full-time,4.0,74089.0
United Kingdom of Great Britain and Northern Ireland,10.0,Master's,Full-time,8.0,59902.0
United Kingdom of Great Britain and Northern Ireland,13.0,Some college,Full-time,9.0,85769.0
United Kingdom of Great Britain and Northern Ireland,20.0,Bachelor's,Full-time,6.0,73516.0
United States of America,29.0,Professional,Full-time,7.0,210000.0
Australia,34.0,Master's,Full-time,7.0,139218.0
Australia,23.0,Bachelor's,Other,11.0,23663.0
Germany,15.0,Bachelor's,Full-time,6.0,55687.0
Netherlands,11.0,Associate's,Full-time,8.0,63808.0
United Kingdom of Great Britain and Northern Ireland,18.0,Some college,Full-time,5.0,91215.0
France,9.0,Master's,Full-time,5.0,55687.0
Brazil,26.0,Some college,Full-time,6.0,118324.0
United States of America,27.0,Master's,Full-time,7.0,235000.0
Netherlands,20.0,High school,Full-time,12.0,139218.0
United Kingdom of Great Britain and Northern Ireland,7.0,Master's,Full-time,13.0,44927.0
United States of America,24.0,Bachelor's,Full-time,4.0,125000.0
Other,45.0,Professional,Full-time,,174022.0
United States of America,45.0,Bachelor's,Full-time,2.0,180000.0
United States of America,18.0,High school,Full-time,7.0,189000.0
United States of America,9.0,High school,Student,16.0,200000.0
Canada,15.0,Some college,Full-time,10.0,153213.0
Other,21.0,Some college,Full-time,6.0,81210.0
Other,20.0,Master's,Full-time,5.0,133000.0
United Kingdom of Great Britain and Northern Ireland,11.0,Bachelor's,Full-time,7.0,71474.0
France,13.0,High school,Full-time,11.0,107198.0
Australia,34.0,Bachelor's,Full-time,9.0,156022.0
United States of America,10.0,Bachelor's,Full-time,7.0,162500.0
Other,40.0,Master's,Full-time,6.0,105412.0
United States of America,15.0,Associate's,Full-time,6.0,171000.0
Australia,18.0,Associate's,Full-time,3.0,100765.0
Other,35.0,Bachelor's,Full-time,6.0,89751.0
Other,41.0,Bachelor's,Full-time,2.0,32527.0
Australia,21.0,Bachelor's,Full-time,6.0,107265.0
Brazil,20.0,Bachelor's,Full-time,3.0,30582.0
United States of America,30.0,Bachelor's,Full-time,7.0,50000.0
Australia,45.0,Professional,Full-time,9.0,149522.0
Canada,10.0,Professional,Full-time,7.0,210000.0
Australia,27.0,Master's,Full-time,4.0,123518.0
United Kingdom of Great Britain and Northern Ireland,40.0,Bachelor's,Full-time,9.0,170177.0
Brazil,20.0,Bachelor's,Full-time,5.0,17476.0
Germany,19.0,Master's,Full-time,8.0,114622.0
Other,11.0,Master's,Full-time,4.0,89751.0
Other,11.0,Master's,Full-time,7.0,52639.0
Switzerland,15.0,Bachelor's,Full-time,3.0,142592.0
United States of America,44.0,Some college,Full-time,3.0,62000.0
Other,2.0,Bachelor's,Full-time,2.0,10000.0
Australia,10.0,High school,Full-time,5.0,61759.0
United States of America,40.0,Professional,Full-time,5.0,170000.0
United States of America,10.0,Bachelor's,Full-time,11.0,150000.0
United States of America,40.0,Master's,Full-time,2.0,320000.0
United States of America,19.0,Bachelor's,Full-time,9.0,220000.0
United States of America,10.0,Bachelor's,Full-time,4.0,130000.0
Other,18.0,Associate's,Full-time,5.0,26663.0
Other,26.0,Master's,Full-time,2.0,103633.0
United States of America,14.0,Bachelor's,Full-time,7.0,200000.0
Other,15.0,Bachelor's,Full-time,4.0,31583.0
Other,8.0,Bachelor's,Full-time,3.0,28741.0
United States of America,33.0,Professional,Full-time,8.0,200000.0
Other,10.0,Master's,Full-time,7.0,72870.0
Other,15.0,Master's,Full-time,7.0,95000.0
Australia,10.0,Bachelor's,Full-time,6.0,55258.0
Australia,34.0,Bachelor's,Full-time,6.0,99464.0
Australia,20.0,Some college,Full-time,11.0,141720.0
Australia,20.0,Bachelor's,Full-time,9.0,166496.0
Australia,15.0,Bachelor's,Full-time,3.0,110516.0
United States of America,30.0,Some college,Full-time,12.0,210000.0
United States of America,40.0,Bachelor's,Full-time,11.0,145000.0
United States of America,23.0,Bachelor's,Full-time,7.0,33800.0
United Kingdom of Great Britain and Northern Ireland,23.0,Master's,Full-time,6.0,108913.0
United States of America,15.0,Professional,Full-time,4.0,200000.0
United States of America,8.0,Bachelor's,Full-time,7.0,70000.0
Netherlands,35.0,Master's,Full-time,1.0,81210.0
Australia,15.0,Bachelor's,Full-time,3.0,117017.0
Canada,5.0,Some college,Full-time,6.0,51071.0
United Kingdom of Great Britain and Northern Ireland,23.0,Bachelor's,Full-time,5.0,126612.0
United States of America,10.0,Bachelor's,Full-time,2.0,115680.0
Germany,5.0,Bachelor's,Full-time,7.0,48262.0
United States of America,7.0,Bachelor's,Full-time,8.0,91000.0
Other,17.0,Master's,Full-time,11.0,150000.0
Other,,Bachelor's,Full-time,,67772.0
Other,7.0,Professional,Full-time,2.0,78794.0
Australia,22.0,Bachelor's,Full-time,6.0,81262.0
United States of America,25.0,Bachelor's,Full-time,7.0,190000.0
United States of America,15.0,Master's,Full-time,8.0,165000.0
United States of America,9.0,High school,Full-time,6.0,305000.0
Australia,25.0,Master's,Full-time,6.0,110516.0
Other,34.0,Bachelor's,Full-time,8.0,187469.0
United States of America,18.0,Bachelor's,Full-time,8.0,92000.0
United States of America,43.0,Master's,Full-time,10.0,135000.0
United States of America,18.0,Bachelor's,Full-time,6.0,165000.0
United States of America,27.0,Bachelor's,Full-time,4.0,101000.0
United States of America,25.0,Bachelor's,Full-time,6.0,210000.0
Australia,25.0,Some college,Full-time,5.0,117017.0
Spain,30.0,Master's,Full-time,9.0,69609.0
Other,10.0,Bachelor's,Full-time,7.0,76570.0
United States of America,42.0,Bachelor's,Full-time,6.0,143000.0
Canada,15.0,Bachelor's,Full-time,6.0,58367.0
United Kingdom of Great Britain and Northern Ireland,12.0,Bachelor's,Full-time,8.0,91147.0
Canada,32.0,Some college,Full-time,3.0,87550.0
United States of America,38.0,Bachelor's,Full-time,6.0,175000.0
Australia,23.0,Bachelor's,Full-time,4.0,227533.0
Other,22.0,Master's,Full-time,1.0,36712.0
United States of America,20.0,Some college,Full-time,7.0,201000.0
Germany,45.0,Some college,Full-time,7.0,232029.0
Germany,10.0,Bachelor's,Full-time,5.0,75410.0
Other,15.0,Master's,Full-time,2.0,53348.0
India,5.0,Bachelor's,Full-time,7.0,17436.0
Australia,40.0,Some college,Full-time,8.0,85812.0
United States of America,3.0,Master's,Full-time,,160000.0
Poland,15.0,Master's,Full-time,11.0,78595.0
United States of America,9.0,Master's,Full-time,4.0,210000.0
Other,4.0,High school,Full-time,3.0,128476.0
Poland,17.0,Bachelor's,Full-time,4.0,171927.0
Other,20.0,Some college,Full-time,6.0,16714.0
Germany,23.0,Master's,Full-time,4.0,77730.0
Other,14.0,Master's,Full-time,14.0,76433.0
United States of America,25.0,Master's,Full-time,,150000.0
United States of America,21.0,Bachelor's,Full-time,7.0,20000.0
Canada,45.0,Professional,Full-time,3.0,182396.0
Australia,9.0,Bachelor's,Full-time,5.0,128068.0
United States of America,17.0,Bachelor's,Full-time,8.0,200000.0
Other,18.0,Bachelor's,Full-time,3.0,47375.0
Canada,19.0,Bachelor's,Full-time,7.0,116733.0
Canada,41.0,Some college,Other,,72958.0
United States of America,28.0,Some college,Full-time,3.0,163200.0
United States of America,31.0,Master's,Full-time,11.0,300000.0
Australia,9.0,Master's,Full-time,5.0,78011.0
Other,28.0,Master's,Full-time,8.0,78959.0
United States of America,8.0,High school,Full-time,7.0,40000.0
United States of America,20.0,Bachelor's,Full-time,8.0,150000.0
United States of America,4.0,Associate's,Student,9.0,30000.0
United States of America,42.0,Bachelor's,Full-time,9.0,205000.0
France,3.0,Master's,Full-time,4.0,58007.0
Australia,40.0,Professional,Full-time,7.0,87763.0
United States of America,45.0,Some college,Full-time,8.0,210000.0
Brazil,13.0,Master's,Full-time,7.0,27306.0
Other,10.0,Professional,Full-time,9.0,36852.0
United States of America,32.0,Associate's,Full-time,8.0,241000.0
United States of America,35.0,Some college,Other,6.0,185000.0
Australia,25.0,Bachelor's,Full-time,15.0,102715.0
United States of America,6.0,Bachelor's,Full-time,10.0,70000.0
United States of America,27.0,Associate's,Full-time,8.0,135000.0
Brazil,7.0,Bachelor's,Student,5.0,14563.0
United States of America,27.0,Bachelor's,Full-time,6.0,53000.0
Other,20.0,Bachelor's,Full-time,7.0,138541.0
Australia,19.0,Bachelor's,Full-time,8.0,84512.0
Other,30.0,Master's,Full-time,11.0,75294.0
United States of America,4.0,Bachelor's,Full-time,2.0,130000.0
Other,6.0,High school,Full-time,6.0,16822.0
Poland,18.0,Master's,Full-time,7.0,106431.0
Canada,28.0,Associate's,Full-time,4.0,30351.0
Australia,8.0,Bachelor's,Full-time,7.0,97855.0
United States of America,11.0,Bachelor's,Full-time,9.0,110000.0
Australia,22.0,Some college,Full-time,8.0,71510.0
United States of America,10.0,Some college,Full-time,6.0,160000.0
Canada,5.0,Some college,Full-time,5.0,131325.0
Other,34.0,Master's,Full-time,6.0,138177.0
United States of America,8.0,Bachelor's,Full-time,6.0,49000.0
Other,45.0,Some college,Full-time,2.0,87341.0
Other,6.0,Associate's,Full-time,8.0,14543.0
Other,25.0,Bachelor's,Full-time,6.0,84852.0
United States of America,11.0,Bachelor's,Full-time,5.0,252000.0
United States of America,12.0,Bachelor's,Full-time,5.0,180000.0
United States of America,32.0,Bachelor's,Full-time,12.0,100000.0
Other,25.0,Professional,Full-time,1.0,14681.0
United States of America,15.0,Bachelor's,Full-time,5.0,165000.0
Australia,10.0,Master's,Full-time,5.0,77361.0
Australia,13.0,Professional,Full-time,6.0,97514.0
Other,20.0,Master's,Full-time,2.0,110542.0
United States of America,9.0,Professional,Full-time,8.0,232000.0
United States of America,20.0,Professional,Full-time,13.0,108000.0
United States of America,21.0,Bachelor's,Full-time,5.0,180000.0
United States of America,19.0,Master's,Full-time,8.0,131000.0
United States of America,23.0,Bachelor's,Full-time,4.0,182000.0
United States of America,42.0,Master's,Full-time,11.0,230000.0
Germany,,Bachelor's,Full-time,2.0,80050.0
Germany,23.0,High school,Full-time,7.0,55687.0
Australia,40.0,Bachelor's,Full-time,8.0,97514.0
United States of America,45.0,Bachelor's,Full-time,2.0,160000.0
Other,10.0,Bachelor's,Full-time,2.0,33428.0
Canada,16.0,Some college,Full-time,5.0,75877.0
Australia,6.0,Bachelor's,Full-time,9.0,78011.0
Canada,4.0,Bachelor's,Full-time,6.0,54719.0
India,14.0,Master's,Full-time,4.0,116240.0
Other,29.0,Bachelor's,Full-time,6.0,42412.0
Other,40.0,Master's,Full-time,3.0,116014.0
Australia,17.0,Bachelor's,Full-time,5.0,97514.0
United States of America,21.0,Master's,Full-time,5.0,130000.0
Canada,5.0,Bachelor's,Full-time,6.0,94846.0
Netherlands,1.0,Associate's,Full-time,,63808.0
United States of America,41.0,Master's,Full-time,3.0,140000.0
Brazil,21.0,Bachelor's,Full-time,11.0,34077.0
United States of America,,Master's,Full-time,3.0,18000.0
United States of America,30.0,Bachelor's,Full-time,6.0,200000.0
Australia,35.0,Master's,Full-time,5.0,107916.0
United States of America,23.0,Master's,Full-time,19.0,315000.0
United States of America,18.0,Some college,Full-time,2.0,320000.0
United States of America,13.0,Master's,Full-time,4.0,49000.0
United States of America,27.0,Bachelor's,Full-time,7.0,220000.0
Australia,25.0,Bachelor's,Full-time,6.0,97514.0
United States of America,31.0,Bachelor's,Full-time,14.0,160000.0
Other,15.0,Master's,Full-time,13.0,93312.0
Canada,11.0,Bachelor's,Full-time,4.0,109438.0
Australia,14.0,Bachelor's,Full-time,6.0,78011.0
United States of America,12.0,Bachelor's,Full-time,4.0,75000.0
United States of America,27.0,Some college,Full-time,5.0,214000.0
United States of America,17.0,Bachelor's,Full-time,3.0,300000.0
Other,41.0,Some college,Full-time,2.0,93365.0
Germany,13.0,Some college,Full-time,6.0,34804.0
Australia,42.0,High school,Full-time,6.0,61759.0
Brazil,10.0,Bachelor's,Full-time,2.0,21844.0
Other,13.0,Bachelor's,Full-time,6.0,99935.0
United States of America,6.0,Some college,Full-time,7.0,100000.0
Canada,5.0,Associate's,Full-time,7.0,116733.0
Canada,15.0,Bachelor's,Full-time,8.0,153213.0
Other,24.0,Bachelor's,Full-time,8.0,147071.0
United States of America,14.0,Bachelor's,Full-time,10.0,210000.0
United States of America,41.0,Bachelor's,Full-time,2.0,95000.0
Brazil,22.0,Professional,Full-time,1.0,56795.0
Switzerland,10.0,High school,Full-time,11.0,86795.0
Other,19.0,Master's,Full-time,8.0,13000.0
United States of America,15.0,Bachelor's,Full-time,8.0,150000.0
United States of America,16.0,Bachelor's,Full-time,7.0,200000.0
United States of America,13.0,Master's,Full-time,2.0,175000.0
Other,35.0,Master's,Full-time,,83531.0
Other,26.0,Associate's,Full-time,5.0,24513.0
United States of America,10.0,Bachelor's,Full-time,7.0,165000.0
Other,18.0,Master's,Full-time,5.0,68431.0
Other,15.0,Master's,Full-time,7.0,18000.0
Australia,13.0,Master's,Full-time,4.0,58508.0
United States of America,5.0,Bachelor's,Full-time,6.0,82000.0
Canada,25.0,Bachelor's,Full-time,5.0,127677.0
Other,15.0,Some college,Full-time,6.0,116015.0
United States of America,18.0,Master's,Full-time,4.0,184347.0
Brazil,10.0,Bachelor's,Full-time,8.0,25485.0
United States of America,11.0,Master's,Full-time,10.0,290000.0
United States of America,15.0,Bachelor's,Full-time,4.0,30000.0
Canada,40.0,Master's,Full-time,1.0,131325.0
United States of America,15.0,Bachelor's,Full-time,3.0,105000.0
United States of America,25.0,Master's,Full-time,6.0,230000.0
United States of America,52.0,Master's,Other,4.0,50000.0
United States of America,22.0,Bachelor's,Full-time,6.0,232000.0
Australia,3.0,Bachelor's,Full-time,10.0,81262.0
Canada,21.0,Bachelor's,Full-time,4.0,140080.0
United States of America,25.0,Bachelor's,Full-time,8.0,210000.0
United States of America,20.0,Bachelor's,Full-time,11.0,198000.0
United States of America,40.0,High school,Full-time,7.0,150000.0
United States of America,10.0,Bachelor's,Full-time,9.0,190000.0
Australia,24.0,Bachelor's,Full-time,4.0,93613.0
Other,40.0,Master's,Full-time,2.0,98612.0
Canada,5.0,Bachelor's,Full-time,10.0,29183.0
United States of America,25.0,Associate's,Full-time,13.0,100000.0
United States of America,15.0,Bachelor's,Full-time,4.0,185000.0
United States of America,20.0,Master's,Full-time,14.0,250000.0
Australia,33.0,Bachelor's,Full-time,2.0,227533.0
Other,6.0,Other,Full-time,5.0,48188.0
Australia,7.0,Bachelor's,Full-time,3.0,104015.0
Canada,15.0,Bachelor's,Full-time,7.0,72958.0
United States of America,25.0,Some college,Full-time,1.0,200000.0
Other,15.0,Bachelor's,Full-time,6.0,18000.0
United States of America,17.0,Master's,Full-time,11.0,131000.0
United States of America,,Bachelor's,Full-time,2.0,350000.0
Other,23.0,Master's,Full-time,10.0,69643.0
Australia,5.0,Bachelor's,Full-time,5.0,45507.0
Other,44.0,Bachelor's,Full-time,6.0,138177.0
Other,4.0,Bachelor's,Full-time,6.0,22354.0
United States of America,5.0,Master's,Full-time,5.0,80000.0
United States of America,1.0,Bachelor's,Full-time,2.0,24000.0
Australia,40.0,Master's,Full-time,13.0,104015.0
India,7.0,Bachelor's,Full-time,5.0,27898.0
United States of America,25.0,Bachelor's,Full-time,7.0,86500.0
United States of America,12.0,Bachelor's,Full-time,8.0,145000.0
United States of America,14.0,Bachelor's,Full-time,5.0,200000.0
United States of America,25.0,Bachelor's,Full-time,6.0,140000.0
United States of America,9.0,Master's,Full-time,10.0,190143.0
Canada,25.0,Bachelor's,Full-time,9.0,160508.0
United States of America,12.0,Some college,Full-time,9.0,220000.0
Australia,40.0,Bachelor's,Full-time,5.0,97514.0
Australia,25.0,Bachelor's,Full-time,7.0,19503.0
United States of America,40.0,Master's,Full-time,5.0,153000.0
United States of America,26.0,Bachelor's,Full-time,7.0,138000.0
Brazil,24.0,Bachelor's,Full-time,5.0,100000.0
Canada,3.0,Bachelor's,Full-time,9.0,87550.0
Canada,18.0,Some college,Full-time,3.0,87550.0
Australia,16.0,Bachelor's,Full-time,5.0,104015.0
Australia,6.0,Bachelor's,Full-time,4.0,68260.0
United States of America,12.0,Bachelor's,Full-time,5.0,130000.0
Spain,50.0,Professional,Other,5.0,116015.0
United States of America,5.0,Master's,Full-time,7.0,153745.0
Canada,8.0,Bachelor's,Full-time,3.0,100000.0
Other,25.0,Bachelor's,Full-time,7.0,55364.0
United States of America,8.0,Bachelor's,Full-time,9.0,160000.0
Canada,20.0,Bachelor's,Full-time,5.0,51071.0
Brazil,5.0,Bachelor's,Full-time,9.0,12069.0
United States of America,9.0,Bachelor's,Full-time,18.0,240000.0
United States of America,7.0,Some college,Full-time,5.0,85000.0
Canada,14.0,Master's,Full-time,3.0,80254.0
Australia,15.0,Bachelor's,Full-time,4.0,100765.0
Other,10.0,Bachelor's,Full-time,6.0,18850.0
Other,10.0,Master's,Full-time,8.0,73425.0
United States of America,16.0,Bachelor's,Full-time,6.0,116000.0
Australia,33.0,High school,Full-time,7.0,162523.0
Other,6.0,Bachelor's,Full-time,2.0,11464.0
India,10.0,Bachelor's,Full-time,4.0,116240.0
Other,25.0,Bachelor's,Full-time,7.0,88960.0
Other,8.0,Bachelor's,Full-time,2.0,31324.0
Canada,39.0,Bachelor's,Full-time,8.0,350200.0
United States of America,18.0,Master's,Full-time,15.0,165000.0
Germany,10.0,Bachelor's,Full-time,6.0,63808.0
Other,13.0,Bachelor's,Full-time,4.0,90353.0
Australia,25.0,Master's,Full-time,7.0,84512.0
Australia,34.0,Some college,Full-time,10.0,234034.0
United States of America,35.0,Some college,Full-time,8.0,225000.0
India,23.0,Master's,Full-time,8.0,62769.0
Other,20.0,Bachelor's,Full-time,5.0,107078.0
United States of America,23.0,Bachelor's,Full-time,6.0,200000.0
United Kingdom of Great Britain and Northern Ireland,6.0,Bachelor's,Full-time,11.0,81685.0
Brazil,16.0,Some college,Full-time,4.0,13107.0
United States of America,5.0,High school,Full-time,8.0,15000.0
Other,17.0,Bachelor's,Full-time,6.0,69088.0
India,5.0,Professional,Full-time,4.0,10462.0
Spain,30.0,Some college,Full-time,2.0,116015.0
France,,Some college,Full-time,,58007.0
United States of America,14.0,Bachelor's,Full-time,9.0,200000.0
United States of America,15.0,Bachelor's,Full-time,4.0,100000.0
United States of America,30.0,Bachelor's,Full-time,4.0,136000.0
United States of America,27.0,Bachelor's,Full-time,4.0,150000.0
India,15.0,Bachelor's,Full-time,4.0,116240.0
Other,18.0,Master's,Full-time,10.0,51816.0
Other,21.0,Master's,Full-time,4.0,85271.0
Australia,15.0,Master's,Full-time,3.0,58508.0
Canada,6.0,Some college,Full-time,9.0,69310.0
United States of America,9.0,Bachelor's,Full-time,7.0,160000.0
United States of America,8.0,High school,Full-time,10.0,180000.0
Australia,28.0,Bachelor's,Full-time,1.0,102715.0
Other,12.0,Bachelor's,Full-time,6.0,14685.0
Germany,20.0,Bachelor's,Full-time,11.0,107894.0
Other,30.0,Master's,Full-time,11.0,152968.0
Germany,20.0,Master's,Full-time,1.0,75410.0
Italy,25.0,Master's,Full-time,7.0,40605.0
Other,12.0,Bachelor's,Full-time,3.0,35144.0
Canada,23.0,Bachelor's,Full-time,4.0,111626.0
Italy,30.0,Bachelor's,Full-time,4.0,143858.0
Italy,40.0,High school,Full-time,,58007.0
Other,20.0,Bachelor's,Full-time,7.0,110214.0
United States of America,20.0,Bachelor's,Full-time,20.0,330000.0
